GeneName	Description	Process	Comment
ECHDC2	similarity:Belongs to the enoyl-CoA hydratase/isomerase family	Fatty Acid Biosynthesis & Elongation	present in both datasets 
CBR4	similarity:Belongs to the short-chain dehydrogenases/reductases (SDR) family	Fatty Acid Biosynthesis & Elongation	present in both datasets 
HSD17B8	In mice, the Ke6 protein is a 17-beta-hydroxysteroid dehydrogenase that can regulate the concentration of biologically active estrogens and androgens. It is preferentially an oxidative enzyme and inactivates estradiol, testosterone, and dihydrotestosterone. However, the enzyme has some reductive activity and can synthesize estradiol from estrone. The protein encoded by this gene is similar to Ke6 and is a member of the short-chain dehydrogenase superfamily. An alternatively spliced transcript of this gene has been detected, but the full-length nature of this variant has not been determined. [provided by RefSeq, Jul 2008],	Fatty Acid Biosynthesis & Elongation	present in both datasets 
THEM4	According to PubMed:11598301, inhibits AKT1 phosphorylation and activity. According to PubMed:17615157, enhances AKT1 activity by favoring its phosphorylation and translocation to plasma membrane	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACSM5	Has medium-chain fatty acid:CoA ligase activity with broad substrate specificity (in vitro). Acts on acids from C(4) to C(11) and on the corresponding 3-hydroxy- and 2,3- or 3,4- unsaturated acids (in vitro) (By similarity)	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACSM1	Has medium-chain fatty acid:CoA ligase activity with broad substrate specificity (in vitro). Acts on acids from C(4) to C(11) and on the corresponding 3-hydroxy- and 2,3- or 3,4- unsaturated acids (in vitro). Functions as GTP-dependent lipoate- activating enzyme that generates the substrate for lipoyltransferase (By similarity)	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACSM3	Has medium-chain fatty acid:CoA ligase activity with broad substrate specificity (in vitro). Acts on acids from C(4) to C(11) and on the corresponding 3-hydroxy- and 2,3- or 3,4- unsaturated acids (in vitro) (By similarity)	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ECHDC1	similarity:Belongs to the enoyl-CoA hydratase/isomerase family	Fatty Acid Biosynthesis & Elongation	present in both datasets 
OXSM	May play a role in the biosynthesis of lipoic acid as well as longer chain fatty acids required for optimal mitochondrial function	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACOT2	Acyl-CoA thioesterases are a group of enzymes that catalyze the hydrolysis of acyl-CoAs to the free fatty acid and coenzyme A (CoASH), providing the potential to regulate intracellular levels of acyl-CoAs, free fatty acids and CoASH. Displays high levels of activity on medium- and long chain acyl CoAs	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACSL6	Activation of long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation. Plays an important role in fatty acid metabolism in brain and the acyl-CoAs produced may be utilized exclusively for the synthesis of the brain lipid	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACSM2A	Has medium-chain fatty acid:CoA ligase activity with broad substrate specificity (in vitro). Acts on acids from C(4) to C(11) and on the corresponding 3-hydroxy- and 2,3- or 3,4- unsaturated acids (in vitro) (By similarity)	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACSL1	Activation of long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation. Preferentially uses palmitoleate, oleate and linoleate	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACOT7	This gene encodes a member of the acyl coenzyme family. The encoded protein hydrolyzes the CoA thioester of palmitoyl-CoA and other long-chain fatty acids. Decreased expression of this gene may be associated with mesial temporal lobe epilepsy. Alternatively spliced transcript variants encoding distinct isoforms with different subcellular locations have been characterized. [provided by RefSeq, Jul 2008],	Fatty Acid Biosynthesis & Elongation	present in both datasets 
ACAT2	The product of this gene is an enzyme involved in lipid metabolism, and it encodes cytosolic acetoacetyl-CoA thiolase. This gene shows complementary overlapping with the 3-prime region of the TCP1 gene in both mouse and human. These genes are encoded on opposite strands of DNA, as well as in opposite transcriptional orientation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2014],	Fatty Acid Degradation & Beta-oxidation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ACSBG2	Mediates activation of long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation. Able to activate long-chain fatty acids. Also able to activate very long-chain fatty acids; however, the relevance of such activity is unclear in vivo. Has increased ability to activate oleic and linoleic acid. May play a role in spermatogenesis	Fatty Acid Degradation & Beta-oxidation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ACSL3	Activation of long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates (By similarity)	Fatty Acid Degradation & Beta-oxidation	mitomitoXplorer | These genes are present in mitomitoXplorer only
HADHA	This gene encodes the alpha subunit of the mitochondrial trifunctional protein, which catalyzes the last three steps of mitochondrial beta-oxidation of long chain fatty acids. The mitochondrial membrane-bound heterocomplex is composed of four alpha and four beta subunits, with the alpha subunit catalyzing the 3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase activities. Mutations in this gene result in trifunctional protein deficiency or LCHAD deficiency. The genes of the alpha and beta subunits of the mitochondrial trifunctional protein are located adjacent to each other in the human genome in a head-to-head orientation. [provided by RefSeq, Jul 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
CPT2	The protein encoded by this gene is a nuclear protein which is transported to the mitochondrial inner membrane. Together with carnitine palmitoyltransferase I, the encoded protein oxidizes long-chain fatty acids in the mitochondria. Defects in this gene are associated with mitochondrial long-chain fatty-acid (LCFA) oxidation disorders. [provided by RefSeq, Jul 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACADS	This gene encodes a tetrameric mitochondrial flavoprotein, which is a member of the acyl-CoA dehydrogenase family. This enzyme catalyzes the initial step of the mitochondrial fatty acid beta-oxidation pathway. Mutations in this gene have been associated with short-chain acyl-CoA dehydrogenase (SCAD) deficiency. Alternative splicing results in two variants which encode different isoforms. [provided by RefSeq, Oct 2014],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACADM	This enzyme is specific for acyl chain lengths of 4 to 16	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
HADH	Plays an essential role in the mitochondrial beta- oxidation of short chain fatty acids. Exerts it highest activity toward 3-hydroxybutyryl-CoA	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACADL	The protein encoded by this gene belongs to the acyl-CoA dehydrogenase family, which is a family of mitochondrial flavoenzymes involved in fatty acid and branched chain amino-acid metabolism. This protein is one of the four enzymes that catalyze the initial step of mitochondrial beta-oxidation of straight-chain fatty acid. Defects in this gene are the cause of long-chain acyl-CoA dehydrogenase (LCAD) deficiency, leading to nonketotic hypoglycemia. [provided by RefSeq, Jul 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACADSB	Has greatest activity toward short branched chain acyl- CoA derivative such as (s)-2-methylbutyryl-CoA, isobutyryl-CoA, and 2-methylhexanoyl-CoA as well as toward short straight chain acyl-CoAs such as butyryl-CoA and hexanoyl-CoA. Can use valproyl- CoA as substrate and may play a role in controlling the metabolic flux of valproic acid in the development of toxicity of this agent	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACADVL	Active toward esters of long-chain and very long chain fatty acids such as palmitoyl-CoA, mysritoyl-CoA and stearoyl-CoA. Can accomodate substrate acyl chain lengths as long as 24 carbons, but shows little activity for substrates of less than 12 carbons	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
CRAT	Carnitine acetylase is specific for short chain fatty acids. Carnitine acetylase seems to affect the flux through the pyruvate dehydrogenase complex. It may be involved as well in the transport of acetyl-CoA into mitochondria	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACAD8	Has very high activity toward isobutyryl-CoA. Is an isobutyryl-CoA dehydrogenase that functions in valine catabolism. Plays a role in transcriptional coactivation within the ARC complex	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ALDH2	This protein belongs to the aldehyde dehydrogenase family of proteins. Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. Two major liver isoforms of aldehyde dehydrogenase, cytosolic and mitochondrial, can be distinguished by their electrophoretic mobilities, kinetic properties, and subcellular localizations. Most Caucasians have two major isozymes, while approximately 50% of Orientals have the cytosolic isozyme but not the mitochondrial isozyme. A remarkably higher frequency of acute alcohol intoxication among Orientals than among Caucasians could be related to the absence of a catalytically active form of the mitochondrial isozyme. The increased exposure to acetaldehyde in individuals with the catalytically inactive form may also confer greater susceptibility to many types of cancer. This gene encodes a mitochondrial isoform, which has a low Km for acetaldehydes, and is localized in mitochondrial matrix. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Mar 2011],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACAA2	The encoded protein catalyzes the last step of the mitochondrial fatty acid beta-oxidation spiral. Unlike most mitochondrial matrix proteins, it contains a non-cleavable amino-terminal targeting signal. [provided by RefSeq, Jul 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
GCDH	Catalyzes the oxidative decarboxylation of glutaryl-CoA to crotonyl-CoA and CO(2) in the degradative pathway of L-lysine, L-hydroxylysine, and L-tryptophan metabolism. It uses electron transfer flavoprotein as its electron acceptor. The short isoform is inactive	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
DECR1	Auxiliary enzyme of beta-oxidation. It participates in the metabolism of unsaturated fatty enoyl-CoA esters having double bonds in both even- and odd-numbered positions. Catalyzes the NADP-dependent reduction of 2,4-dienoyl-CoA to yield trans-3- enoyl-CoA	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACAD10	This gene encodes a member of the acyl-CoA dehydrogenase family of enzymes (ACADs), which participate in the beta-oxidation of fatty acids in mitochondria. The encoded enzyme contains a hydrolase domain at the N-terminal portion, a serine/threonine protein kinase catlytic domain in the central region, and a conserved ACAD domain at the C-terminus. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. [provided by RefSeq, Nov 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ECI2	This gene encodes a member of the hydratase/isomerase superfamily. The protein encoded is a key mitochondrial enzyme involved in beta-oxidation of unsaturated fatty acids. It catalyzes the transformation of 3-cis and 3-trans-enoyl-CoA esters arising during the stepwise degradation of cis-, mono-, and polyunsaturated fatty acids to the 2-trans-enoyl-CoA intermediates. Alternatively spliced transcript variants have been described. [provided by RefSeq, Aug 2011],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACAD9	Has a dehydrogenase activity on palmitoyl-CoA (C16:0) and stearoyl-CoA (C18:0). It is three times more active on palmitoyl-CoA then on stearoyl-CoA. Has little activity on octanoyl-CoA (C8:0), butyryl-CoA (C4:0) or isovaleryl-CoA (5:0)	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
CPT1A	The mitochondrial oxidation of long-chain fatty acids is initiated by the sequential action of carnitine palmitoyltransferase I (which is located in the outer membrane and is detergent-labile) and carnitine palmitoyltransferase II (which is located in the inner membrane and is detergent-stable), together with a carnitine-acylcarnitine translocase. CPT I is the key enzyme in the carnitine-dependent transport across the mitochondrial inner membrane and its deficiency results in a decreased rate of fatty acid beta-oxidation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ALDH1B1	This protein belongs to the aldehyde dehydrogenases family of proteins. Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. This gene does not contain introns in the coding sequence. The variation of this locus may affect the development of alcohol-related problems. [provided by RefSeq, Jul 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ECI1	Able to isomerize both 3-cis and 3-trans double bonds into the 2-trans form in a range of enoyl-CoA species	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACAD11	This gene encodes an acyl-CoA dehydrogenase enzyme with a preference for carbon chain lengths between 20 and 26. Naturally occurring read-through transcription occurs between the upstream gene NPHP3 (nephronophthisis 3 (adolescent)) and this gene. [provided by RefSeq, Aug 2015],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
HADHB	This gene encodes the beta subunit of the mitochondrial trifunctional protein, which catalyzes the last three steps of mitochondrial beta-oxidation of long chain fatty acids. The mitochondrial membrane-bound heterocomplex is composed of four alpha and four beta subunits, with the beta subunit catalyzing the 3-ketoacyl-CoA thiolase activity. The encoded protein can also bind RNA and decreases the stability of some mRNAs. The genes of the alpha and beta subunits of the mitochondrial trifunctional protein are located adjacent to each other in the human genome in a head-to-head orientation. Mutations in this gene result in trifunctional protein deficiency. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2013],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
CPT1B	The protein encoded by this gene, a member of the carnitine/choline acetyltransferase family, is the rate-controlling enzyme of the long-chain fatty acid beta-oxidation pathway in muscle mitochondria. This enzyme is required for the net transport of long-chain fatty acyl-CoAs from the cytoplasm into the mitochondria. Multiple transcript variants encoding different isoforms have been found for this gene, and read-through transcripts are expressed from the upstream locus that include exons from this gene. [provided by RefSeq, Jun 2009],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ALDH3A2	Aldehyde dehydrogenase isozymes are thought to play a major role in the detoxification of aldehydes generated by alcohol metabolism and lipid peroxidation. This gene product catalyzes the oxidation of long-chain aliphatic aldehydes to fatty acid. Mutations in the gene cause Sjogren-Larsson syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACACB	ACC-beta may be involved in the provision of malonyl-CoA or in the regulation of fatty acid oxidation, rather than fatty acid biosynthesis. Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferase	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
CPT1C	This gene encodes a member of the carnitine/choline acetyltransferase family. The encoded protein regulates the beta-oxidation and transport of long-chain fatty acids into mitochondria, and may play a role in the regulation of feeding behavior and whole-body energy homeostasis. Alternatively spliced transcript variants encoding multiple protein isoforms have been observed for this gene. [provided by RefSeq, Dec 2010],	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACSL4	Activation of long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation. Preferentially uses arachidonate and eicosapentaenoate as substrates	Fatty Acid Degradation & Beta-oxidation	present in both datasets 
ACSM6	catalytic activity:ATP + an acid + CoA = AMP + diphosphate + an acyl-CoAcatalytic activity:GTP + lipoate = diphosphate + lipoyl-GMPcofactor:Magnesiumsimilarity:Belongs to the ATP-dependent AMP-binding enzyme familysubunit:Monomer	Fatty Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
GLYATL2	Mitochondrial acyltransferase which transfers the acyl group to the N-terminus of glycine. Can conjugate a multitude of substrates to form a variety of N-acylglycines (By similarity)	Fatty Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
HDHD5	glycerophospholipid biosynthetic process	Fatty Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
PNPLA4	Lipid hydrolase	Fatty Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
PCCB	The protein encoded by this gene is a subunit of the propionyl-CoA carboxylase (PCC) enzyme, which is involved in the catabolism of propionyl-CoA. PCC is a mitochondrial enzyme that probably acts as a dodecamer of six alpha subunits and six beta subunits. This gene encodes the beta subunit of PCC. Defects in this gene are a cause of propionic acidemia type II (PA-2). Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, May 2010],	Fatty Acid Metabolism	present in both datasets 
BDH1	This gene encodes a member of the short-chain dehydrogenase/reductase gene family. The encoded protein forms a homotetrameric lipid-requiring enzyme of the mitochondrial membrane and has a specific requirement for phosphatidylcholine for optimal enzymatic activity. The encoded protein catalyzes the interconversion of acetoacetate and (R)-3-hydroxybutyrate, the two major ketone bodies produced during fatty acid catabolism. Alternatively spliced transcript variants encoding the same protein have been described. [provided by RefSeq, Jul 2008],	Fatty Acid Metabolism	present in both datasets 
ACSF3	Acyl-CoA synthases catalyze the initial reaction in fatty acid metabolism, by forming a thioester with CoA. May have some preference toward very-long-chain substrates	Fatty Acid Metabolism	present in both datasets 
PNPLA8	Calcium-independent phospholipase A2, which catalyzes the hydrolysis of the sn-2 position of glycerophospholipids, PtdSer and to a lower extent PtdCho. Cleaves membrane phospholipids	Fatty Acid Metabolism	present in both datasets 
MLYCD	The product of this gene catalyzes the breakdown of malonyl-CoA to acetyl-CoA and carbon dioxide. Malonyl-CoA is an intermediate in fatty acid biosynthesis, and also inhibits the transport of fatty acyl CoAs into mitochondria. Consequently, the encoded protein acts to increase the rate of fatty acid oxidation. It is found in mitochondria, peroxisomes, and the cytoplasm. Mutations in this gene result in malonyl-CoA decarboyxlase deficiency. [provided by RefSeq, Jul 2008],	Fatty Acid Metabolism	present in both datasets 
ACSF2	Acyl-CoA synthases catalyze the initial reaction in fatty acid metabolism, by forming a thioester with CoA. Has some preference toward medium-chain substrates. Plays a role in adipodyte differentiation	Fatty Acid Metabolism	present in both datasets 
LYPLA1	Hydrolyzes fatty acids from S-acylated cysteine residues in proteins such as trimeric G alpha proteins or HRAS. Also has low lysophospholipase activity	Fatty Acid Metabolism	present in both datasets 
ACOT9	Acyl-CoA thioesterases are a group of enzymes that catalyze the hydrolysis of acyl-CoAs to the free fatty acid and coenzyme A (CoASH), providing the potential to regulate intracellular levels of acyl-CoAs, free fatty acids and CoASH. Active on long chain acyl-CoAs	Fatty Acid Metabolism	present in both datasets 
LYPLAL1	similarity:Belongs to the AB hydrolase 2 family	Fatty Acid Metabolism	present in both datasets 
TMLHE	This gene encodes the protein trimethyllysine dioxygenase which is the first enzyme in the carnitine biosynthesis pathway. Carnitine play an essential role in the transport of activated fatty acids across the inner mitochondrial membrane. The encoded protein converts trimethyllysine into hydroxytrimethyllysine. A pseudogene of this gene is found on chromosome X. 	Fatty Acid Metabolism	present in both datasets 
AGK	Lipid kinase that can phosphorylate both monoacylglycerol and diacylglycerol to form lysophosphatidic acid (LPA) and phosphatidic acid (PA), respectively. Does not phosphorylate sphingosine. Overexpression increases the formation and secretion of LPA, resulting in transactivation of EGFR and activation of the downstream MAPK signaling pathway, leading to increased cell growth	Fatty Acid Metabolism	present in both datasets 
CIAO1	function:Seems to specifically modulate the transactivation activity of WT1miscellaneous:'Ciao' means 'bridge' in Chinesesimilarity:Belongs to the WD repeat CIA1 familysimilarity:Contains 7 WD repeatssubunit:Interacts with WT1	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CIAO2A	similarity:Belongs to the UPF0195 family; iron-sulfur cluster assembly, protein maturation by [4Fe-4S] cluster transfer	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CIAO2B	similarity:Belongs to the UPF0195 family; iron-sulfur cluster assembly, protein maturation by [4Fe-4S] cluster transfer	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CIAPIN1	Probably required during hematopoiesis to mediate antiapoptotic effects of various cytokines. Confers resistance to apoptosis when overexpressed (By similarity)	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
FDX2	This gene encodes a member of the ferredoxin family. The encoded protein contains a 2Fe-2S ferredoxin-type domain and is essential for heme A and Fe/S protein biosynthesis. Mutation in FDX1L gene is associated with mitochondrial muscle myopathy. [provided by RefSeq, Sep 2014]	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
MMS19	function:May play a role in nucleotide excision repair (NER) and RNA polymerase II (POL II) transcription by interacting with ERCC2/XPD and ERCC3/XPB helicases, both subunits of NER-transcription factor TFIIH. May also function as a transcriptional coactivator of estrogen receptor (ER). May be involved in regulation of ER activity by bridging TFIIH with ER or may facilitate TFIIH-mediated phosphorylation of ER in specific promoters and cell typessimilarity:Belongs to the MET18/MMS19 familysimilarity:Contains 7 HEAT repeatssubunit:Interacts with ERCC2/XPD, ERCC3/XPB and NCOA3/RAC3tissue specificity:Ubiquitously expressed with higher expression in testis	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
NARF	Several proteins have been found to be prenylated and methylated at their carboxyl-terminal ends. Prenylation was initially believed to be important only for membrane attachment. However, another role for prenylation appears to be its importance in protein-protein interactions. The only nuclear proteins known to be prenylated in mammalian cells are prelamin A- and B-type lamins. Prelamin A is farnesylated and carboxymethylated on the cysteine residue of a carboxyl-terminal CaaX motif. This post-translationally modified cysteine residue is removed from prelamin A when it is endoproteolytically processed into mature lamin A. The protein encoded by this gene binds to the prenylated prelamin A carboxyl-terminal tail domain. It may be a component of a prelamin A endoprotease complex. The encoded protein is located in the nucleus, where it partially colocalizes with the nuclear lamina. It shares limited sequence similarity with iron-only bacterial hydrogenases. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene, including one with a novel exon that is generated by RNA editing. [provided by RefSeq, Jul 2008],	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
NUBP1	Implicated in the regulation of centrosome duplication (By similarity)	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
NUBP2	May contribute to formation of bipolar spindles (By similarity)	Fe-S Cluster Biosynthesis	mitomitoXplorer | These genes are present in mitomitoXplorer only
ISCA2	Involved in the assembly of mitochondrial iron-sulfur proteins. Probably involved in the binding of an intermediate of Fe/S cluster assembly (By similarity)	Fe-S Cluster Biosynthesis	present in both datasets 
ISCA1	Involved in the assembly of mitochondrial iron-sulfur proteins. Probably involved in the binding of an intermediate of Fe/S cluster assembly	Fe-S Cluster Biosynthesis	present in both datasets 
LYRM4	May be involved in mitochondrial iron-sulfur protein biosynthesis	Fe-S Cluster Biosynthesis	present in both datasets 
ISCU	Involved in the assembly or repair of the [Fe-S] clusters present in iron-sulfur proteins. Binds iron	Fe-S Cluster Biosynthesis	present in both datasets 
IBA57	The protein encoded by this gene localizes to the mitochondrion and is part of the iron-sulfur cluster assembly pathway. The encoded protein functions late in the biosynthesis of mitochondrial 4Fe-4S proteins. Defects in this gene have been associated with autosomal recessive spastic paraplegia-74 and with multiple mitochondrial dysfunctions syndrome-3. Two transcript variants encoding different isoforms have been found for this gene. The smaller isoform is not likely to be localized to the mitochondrion since it lacks the amino-terminal transit peptide. [provided by RefSeq, Jul 2015],	Fe-S Cluster Biosynthesis	present in both datasets 
NFS1	Catalyzes the removal of elemental sulfur from cysteine to produce alanine. It supplies the inorganic sulfur for iron- sulfur (Fe-S) clusters. May be involved in the biosynthesis of molybdenum cofactor	Fe-S Cluster Biosynthesis	present in both datasets 
FDX1	Participates in the synthesis of thyroid hormones. Transfers electrons from adrenodoxin reductase to the cholesterol side chain cleavage cytochrome P450	Fe-S Cluster Biosynthesis	present in both datasets 
NFU1	Iron-sulfur cluster scaffold protein which can assemble [4Fe-2S] clusters and deliver them to target proteins	Fe-S Cluster Biosynthesis	present in both datasets 
FXN	Probably involved in iron homeostasis. Anti-apoptotic protein which prevents mitochondrial damage and reactive oxygen species (ROS) production	Fe-S Cluster Biosynthesis	present in both datasets 
FDXR	Serves as the first electron transfer protein in all the mitochondrial P450 systems. Including cholesterol side chain cleavage in all steroidogenic tissues, steroid 11-beta hydroxylation in the adrenal cortex, 25-OH-vitamin D3-24 hydroxylation in the kidney, and sterol C-27 hydroxylation in the liver	Fe-S Cluster Biosynthesis	present in both datasets 
HSCB	This gene encodes a DnaJ-type co-chaperone and member of the heat shock cognate B (HscB) family of proteins. The encoded protein plays a role in the synthesis of iron-sulfur clusters, protein cofactors that are involved in the redox reactions of mitochondrial electron transport and other processes. Cells in which this gene is knocked down exhibit reduced activity of iron-sulfur cluster-dependent enzymes including succinate dehydrogenase and aconitase. The encoded protein may stimulate the ATPase activity of the mitochondrial stress-70 protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015],	Fe-S Cluster Biosynthesis	present in both datasets 
GLRX5	This gene encodes a mitochondrial protein, which is evolutionarily conserved. It is involved in the biogenesis of iron-sulfur clusters, which are required for normal iron homeostasis. Mutations in this gene are associated with autosomal recessive pyridoxine-refractory sideroblastic anemia. [provided by RefSeq, May 2010],	Fe-S Cluster Biosynthesis	present in both datasets 
BOLA1	Acts as a mitochondrial iron-sulfur (Fe-S) cluster assembly factor that facilitates (Fe-S) cluster insertion into a subset of mitochondrial proteins (By similarity). Probably acts together with the monothiol glutaredoxin GLRX5 (PubMed:27532772). May protect cells against oxidative stress (PubMed:22746225).	Fe-S Cluster Biosynthesis	present in both datasets 
SLC25A28	Mitochondrial iron transporter that mediates iron uptake. Probably required for heme synthesis of hemoproteins and Fe-S cluster assembly in non-erythroid cells. The iron delivered into the mitochondria, presumably as Fe(2+), is then probably delivered to ferrochelatase to catalyze Fe(2+) incorporation into protoprophyrin IX to make heme (By similarity)	Fe-S Cluster Biosynthesis	present in both datasets 
SLC25A37	Mitochondrial iron transporter that specifically mediates iron uptake in developing erythroid cells, thereby playing an essential role in heme biosynthesis. The iron delivered into the mitochondria, presumably as Fe(2+), is then probably delivered to ferrochelatase to catalyze Fe(2+) incorporation into protoprophyrin IX to make heme (By similarity)	Fe-S Cluster Biosynthesis	present in both datasets 
BOLA3	This gene encodes a protein that plays an essential role in the production of iron-sulfur (Fe-S) clusters for the normal maturation of lipoate-containing 2-oxoacid dehydrogenases, and for the assembly of the mitochondrial respiratory chain complexes. Mutation in this gene has been associated with multiple mitochondrial dysfunctions syndrome-2. Two alternatively spliced transcript variants encoding different isoforms with distinct subcellular localization have been reported for this gene (PMID:21944046). [provided by RefSeq, Dec 2011],	Fe-S Cluster Biosynthesis	present in both datasets 
DHFR 	Dihydrofolate reductase converts dihydrofolate into tetrahydrofolate, a methyl group shuttle required for the de novo synthesis of purines, thymidylic acid, and certain amino acids. While the functional dihydrofolate reductase gene has been mapped to chromosome 5, multiple intronless processed pseudogenes or dihydrofolate reductase-like genes have been identified on separate chromosomes. Dihydrofolate reductase deficiency has been linked to megaloblastic anemia. 	Folate & Pterin Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
DHFR2	similarity:Belongs to the dihydrofolate reductase familysimilarity:Contains 1 DHFR (dihydrofolate reductase) domain	Folate & Pterin Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
MTHFD1L	May provide the missing metabolic reaction required to link the mitochondria and the cytoplasm in the mammalian model of one-carbon folate metabolism in embryonic an transformed cells complementing thus the enzymatic activities of MTHFD2 (By similarity)	Folate & Pterin Metabolism	present in both datasets 
SHMT2	Interconversion of serine and glycine (By similarity)Interconversion of serine and glycine	Folate & Pterin Metabolism	present in both datasets 
MTHFD2	This gene encodes a nuclear-encoded mitochondrial bifunctional enzyme with methylenetetrahydrofolate dehydrogenase and methenyltetrahydrofolate cyclohydrolase activities. The enzyme functions as a homodimer and is unique in its absolute requirement for magnesium and inorganic phosphate. Formation of the enzyme-magnesium complex allows binding of NAD. Alternative splicing results in two different transcripts, one protein-coding and the other not protein-coding. This gene has a pseudogene on chromosome 7. [provided by RefSeq, Mar 2009],	Folate & Pterin Metabolism	present in both datasets 
MTHFD2L	catalytic activity:5,10-methenyltetrahydrofolate + H(2)O = 10-formyltetrahydrofolatecatalytic activity:5,10-methylenetetrahydrofolate + NAD(+) = 5,10-methenyltetrahydrofolate + NADHcofactor:Magnesiumpathway:One-carbon metabolism; tetrahydrofolate pathwaysequence caution:Contaminating sequence. Sequence of unknown origin in the N-terminal partsimilarity:Belongs to the tetrahydrofolate dehydrogenase/cyclohydrolase family	Folate & Pterin Metabolism	present in both datasets 
