GeneID	Symbol	Description	Synonyms	Maestro score	FDR	Evidence	Tissues
217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	ALDH-E2, ALDHI, ALDM, P05091	22	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	all 14
10105	PPIF	peptidylprolyl isomerase F	CYP3, CyP-M, Cyp-D, CypD, P30405	22	0%	"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	all 14
29928	TIMM22	translocase of inner mitochondrial membrane 22 homolog (yeast)	TEX4, TIM22, Q9Y584	22	0%	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS"	all 14
3712	IVD	isovaleryl-CoA dehydrogenase	ACAD2, P26440	22	0%	"literature, APEX_matrix, targetP signal, mito protein domain+, coexpression+, MS/MS++"	all 14
79944	L2HGDH	L-2-hydroxyglutarate dehydrogenase	C14orf160, Q9H9P8	22	0%	"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	cerebrum, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, testis
23474	ETHE1	ethylmalonic encephalopathy 1	HSCO, YF13H12, O95571	22	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, induction, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta
55052	MRPL20	mitochondrial ribosomal protein L20	L20mt, MRP-L20, Q9BYC9	22	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
8604	SLC25A12	"solute carrier family 25 (aspartate/glutamate carrier), member 12"	AGC1, ARALAR, O75746	22	0%	"literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++"	all 14
292	SLC25A5	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"	2F1, AAC2, ANT2, T2, T3, P05141	22	0%	"literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++"	all 14
54460	MRPS21	mitochondrial ribosomal protein S21	MRP-S21, RPMS21, P82921	22	0%	"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, MS/MS++"	all 14
56993	TOMM22	translocase of outer mitochondrial membrane 22 homolog (yeast)	1C9-2, MST065, MSTP065, TOM22, Q9NS69	22	0%	"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++"	all 14
10449	ACAA2	acetyl-CoA acyltransferase 2	DSAEC, P42765	22	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
51263	MRPL30	mitochondrial ribosomal protein L30	L28MT, L30MT, MRP-L28, MRP-L30, MRPL28, MRPL28M, RPML28, Q8TCC3	22	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain, coexpression++, MS/MS"	all 14
9093	DNAJA3	"DnaJ (Hsp40) homolog, subfamily A, member 3"	HCA57, TID1, hTID-1, Q96EY1	22	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+"	all 14
65993	MRPS34	mitochondrial ribosomal protein S34	MRP-S12, MRP-S34, MRPS12, P82930	22	0%	"literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++"	all 14
4708	NDUFB2	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"	AGGG, CI-AGGG, O95178	22	0%	"literature, targetP signal, induction, coexpression++, MS/MS++"	all 14
2109	ETFB	"electron-transfer-flavoprotein, beta polypeptide"	MADD, P38117	22	0%	"literature, APEX_matrix, yeast mito homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
246269	LACE1	lactation elevated 1	AFG1, Q8WV93	22	0%	"APEX_matrix, yeast mito homolog++, Rickettsial homolog, coexpression, MS/MS+"	cerebrum, cerebellum, spinalcord, heart, adipose, smallintestine, largeintestine, stomach, placenta
93974	ATPIF1	ATPase inhibitory factor 1	ATPI, ATPIP, IP, Q9UII2	22	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++"	all 14
515	ATP5F1	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1"	PIG47, P24539	22	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS++"	all 14
1350	COX7C	cytochrome c oxidase subunit VIIc	P15954	22	0%	"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, MS/MS++"	all 14
54927	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	MINOS3, PPP1R22, Q9NX63	22	0%	"literature, APEX_IMS, APEX_matrix, GFP, yeast mito homolog, induction, coexpression++, MS/MS++"	all 14
80219	COQ10B	coenzyme Q10 homolog B (S. cerevisiae)	Q9H8M1	22	0%	"GFP, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS+"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta
197322	ACSF3	acyl-CoA synthetase family member 3	Q4G176	22	0%	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	all 14
26073	POLDIP2	"polymerase (DNA-directed), delta interacting protein 2"	PDIP38, POLD4, Q9Y2S7	22	0%	"literature, APEX_matrix, targetP signal+, induction, coexpression++, MS/MS++"	all 14
1468	SLC25A10	"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10"	DIC, Q9UBX3	21	0%	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis
10165	SLC25A13	"solute carrier family 25 (aspartate/glutamate carrier), member 13"	ARALAR2, CITRIN, CTLN2, Q9UJS0	21	0%	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	all 14
5165	PDK3	"pyruvate dehydrogenase kinase, isozyme 3"	CMTX6, GS1-358P8.4, Q15120	21	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain+, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
10873	ME3	"malic enzyme 3, NADP(+)-dependent, mitochondrial"	NADP-ME, Q16798	21	0%	"literature, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
29093	MRPL22	mitochondrial ribosomal protein L22	L22mt, MRP-L22, MRP-L25, RPML25, Q9NWU5	21	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	all 14
3418	IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	D2HGA2, ICD-M, IDH, IDHM, IDP, IDPM, mNADP-IDH, P48735	21	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	all 14
2639	GCDH	glutaryl-CoA dehydrogenase	ACAD5, GCD, Q92947	21	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	all 14
57129	MRPL47	mitochondrial ribosomal protein L47	L47mt, MRP-L47, NCM1, Q9HD33	21	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression"	all 14
27068	PPA2	pyrophosphatase (inorganic) 2	SID6-306, Q9H2U2	21	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
65005	MRPL9	mitochondrial ribosomal protein L9	L9mt, Q9BYD2	21	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS"	all 14
400916	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	C22orf16, N27C7-4, Q8WYQ3	21	0%	"literature, targetP signal, yeast mito homolog+, mito protein domain, induction, coexpression++"	none
10352	WARS2	"tryptophanyl tRNA synthetase 2, mitochondrial"	TrpRS, Q9UGM6	21	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	cerebrum, cerebellum, brainstem, kidney, skeletalmuscle, adipose, largeintestine, placenta, testis
60386	SLC25A19	"solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19"	DNC, MCPHA, MUP1, THMD3, THMD4, TPC, Q9HC21	21	0%	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS"	cerebellum, spinalcord, adipose, testis
84869	CBR4	carbonyl reductase 4	SDR45C1, Q8N4T8	21	0%	"literature, APEX_matrix, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
91689	SMDT1	single-pass membrane protein with aspartate-rich tail 1	C22orf32, DDDD, EMRE, dJ186O1.1, Q9H4I9	21	0%	"literature, targetP signal, mito protein domain+, induction, coexpression+, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, kidney, adipose, smallintestine, largeintestine, stomach, placenta, testis
3029	HAGH	hydroxyacylglutathione hydrolase	GLO2, GLX2, GLXII, HAGH1, Q16775	21	0%	"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis
1346	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	COX7A, COX7AH, COX7AM, P24310	21	0%	"literature, targetP signal, mito protein domain+, induction, coexpression, MS/MS+"	cerebrum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
92170	MTG1	mitochondrial ribosome-associated GTPase 1	GTP, GTPBP7, RP11-108K14.2, Q9BT17	21	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS"	largeintestine, testis
84987	COX14	cytochrome c oxidase assembly homolog 14 (S. cerevisiae)	C12orf62, Q96I36	21	0%	"literature, GFP, mito protein domain+, induction, coexpression++, MS/MS+"	cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, smallintestine, testis
55967	NDUFA12	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12"	B17.2, DAP13, Q9UI09	21	0%	"literature, APEX_matrix, Rickettsial homolog, coexpression++, MS/MS++"	all 14
51021	MRPS16	mitochondrial ribosomal protein S16	COXPD2, MRP-S16, RPMS16, Q9Y3D3	21	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS+"	all 14
80298	MTERFD3	MTERF domain containing 3	mTERF2, mTERFL, Q49AM1	21	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, largeintestine, testis
144363	LYRM5	LYR motif containing 5	Q6IPR1	21	0%	"mito protein domain+, induction, coexpression, MS/MS++"	cerebrum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta
2820	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	GDH2, GPDM, mGPDH, P43304	21	0%	"literature, APEX_IMS, yeast mito homolog++, mito protein domain, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
4705	NDUFA10	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa"	CI-42KD, CI-42k, O95299	21	0%	"literature, targetP signal, mito protein domain, coexpression++, MS/MS++"	all 14
4718	NDUFC2	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"	B14.5b, CI-B14.5b, HLC-1, NADHDH2, O95298	21	0%	"literature, APEX_IMS, mito protein domain+, coexpression++, MS/MS++"	all 14
81892	SLIRP	SRA stem-loop interacting RNA binding protein	C14orf156, DC50, PD04872, Q9GZT3	21	0%	"literature, APEX_matrix, GFP, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	all 14
4513	COX2	cytochrome c oxidase subunit II	COII, MTCO2, P00403	21	0%	"literature, APEX_IMS, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, MS/MS+"	all 14
4508	ATP6	ATP synthase F0 subunit 6	ATPase6, MTATP6, P00846	21	0%	"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain+, MS/MS+"	all 14
29090	TIMM21	translocase of inner mitochondrial membrane 21 homolog (yeast)	C18orf55, TIM21, Q9BVV7	21	0%	"APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, coexpression, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis
4702	NDUFA8	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa"	CI-19KD, CI-PGIV, PGIV, P51970	21	0%	"literature, APEX_IMS, mito protein domain, induction, coexpression++, MS/MS++"	all 14
2744	GLS	glutaminase	AAD20, GAC, GAM, GLS1, KGA, O94925	20	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
54539	NDUFB11	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa"	CI-ESSS, ESSS, NP17.3, Np15, P17.3, Q9NX14	20	0%	"literature, APEX_IMS, APEX_matrix, targetP signal+, coexpression++, MS/MS++"	all 14
55526	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	AMOXAD, CMT2Q, Q96HY7	20	0%	"APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS"	cerebrum, kidney, liver, adipose, placenta, testis
51011	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	Q96GK7	20	0%	"APEX_matrix, targetP signal, mito protein domain, induction, coexpression, MS/MS++"	all 14
84681	HINT2	histidine triad nucleotide binding protein 2	HIT-17, Q9BX68	20	0%	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
7923	HSD17B8	hydroxysteroid (17-beta) dehydrogenase 8	D6S2245E, FABG, FABGL, H2-KE6, HKE6, KE6, RING2, SDR30C1, dJ1033B10.9, Q92506	20	0%	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
64969	MRPS5	mitochondrial ribosomal protein S5	MRP-S5, S5mt, P82675	20	0%	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	cerebrum, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
221545	C6orf136	chromosome 6 open reading frame 136	Q5SQH8	20	0%	"targetP signal, induction, coexpression++, MS/MS+"	all 14
283377	SPRYD4	SPRY domain containing 4	Q8WW59	20	0%	"APEX_matrix, GFP, targetP signal+, mito protein domain, coexpression+, MS/MS++"	all 14
387787	LIPT2	lipoyl(octanoyl) transferase 2 (putative)	A6NK58	20	0%	"targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, skeletalmuscle, adipose, largeintestine, placenta, testis
1666	DECR1	"2,4-dienoyl CoA reductase 1, mitochondrial"	DECR, NADPH, SDR18C1, Q16698	20	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	all 14
64949	MRPS26	mitochondrial ribosomal protein S26	C20orf193, GI008, MRP-S13, MRP-S26, MRPS13, NY-BR-87, RPMS13, dJ534B8.3, Q9BYN8	20	0%	"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression, MS/MS+"	all 14
10166	SLC25A15	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	D13S327, HHH, ORC1, ORNT1, Q9Y619	20	0%	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	spinalcord, kidney, liver, adipose, smallintestine, largeintestine, placenta
4731	NDUFV3	"NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa"	CI-10k, CI-9KD, P56181	20	0%	"literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++"	all 14
670	BPHL	biphenyl hydrolase-like (serine hydrolase)	BPH-RP, MCNAA, VACVASE, Q86WA6	20	0%	"targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
30968	STOML2	stomatin (EPB72)-like 2	SLP-2, Q9UJZ1	20	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
22921	MSRB2	methionine sulfoxide reductase B2	CBS-1, CBS1, MSRB, PILB, Q9Y3D2	20	0%	"APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis
114294	LACTB	"lactamase, beta"	G24, MRPL56, P83111	20	0%	"literature, APEX_IMS, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
114789	SLC25A25	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25"	MCSC, PCSCL, RP11-395P17.4, SCAMC-2, Q6KCM7	20	0%	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	cerebrum, brainstem, spinalcord, liver, adipose, smallintestine, largeintestine, placenta
10452	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	C19orf1, D19S1177E, PER-EC1, PEREC1, TOM40, O96008	20	0%	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	cerebrum, spinalcord, kidney, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
203054	ADCK5	aarF domain containing kinase 5	Q3MIX3	20	0%	"targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	cerebrum, largeintestine, testis
80724	ACAD10	"acyl-CoA dehydrogenase family, member 10"	Q6JQN1	20	0%	"APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	cerebrum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
23078	VWA8	von Willebrand factor A domain containing 8	KIAA0564, A3KMH1	20	0%	"APEX_matrix, targetP signal, mito protein domain, coexpression+, MS/MS++"	all 14
60492	CCDC90B	coiled-coil domain containing 90B	MDS011, MDS025, Q9GZT6	20	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain+, MS/MS"	all 14
55735	DNAJC11	"DnaJ (Hsp40) homolog, subfamily C, member 11"	dJ126A5.1, Q9NVH1	20	0%	"GFP, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
84266	ALKBH7	"alkB, alkylation repair homolog 7 (E. coli)"	ABH7, SPATA11, UNQ6002, Q9BT30	20	0%	"APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS"	cerebellum, brainstem, largeintestine, testis
2731	GLDC	glycine dehydrogenase (decarboxylating)	GCE, GCSP, HYGN1, P23378	20	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, coexpression, MS/MS++"	cerebrum, cerebellum, kidney, liver, adipose, placenta
347411	MPC1L	mitochondrial pyruvate carrier 1-like	P0DKB6	20	0%	"targetP signal, yeast mito homolog+, mito protein domain+, MS/MS++"	testis
117145	THEM4	thioesterase superfamily member 4	CTMP, Q5T1C6	19	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog, mito protein domain, induction, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, placenta, testis
6742	SSBP1	"single-stranded DNA binding protein 1, mitochondrial"	Mt-SSB, SOSS-B1, SSBP, mtSSB, Q04837	19	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS"	all 14
51264	MRPL27	mitochondrial ribosomal protein L27	L27mt, Q9P0M9	19	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS"	all 14
150274	HSCB	HscB mitochondrial iron-sulfur cluster co-chaperone	DNAJC20, HSC20, JAC1, dJ366L4.2, Q8IWL3	19	0%	"APEX_matrix, GFP, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis
55173	MRPS10	mitochondrial ribosomal protein S10	MRP-S10, PNAS-122, P82664	19	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	all 14
205	AK4	adenylate kinase 4	AK 4, AK3, AK3L1, AK3L2, P27144	19	0%	"APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	all 14
55210	ATAD3A	"ATPase family, AAA domain containing 3A"	Q9NVI7	19	0%	"APEX_IMS, APEX_matrix, GFP, Rickettsial homolog, mito protein domain+, coexpression, MS/MS++"	all 14
80142	PTGES2	prostaglandin E synthase 2	C9orf15, GBF-1, GBF1, PGES2, mPGES-2, Q9H7Z7	19	0%	"literature, APEX_IMS, APEX_matrix, targetP signal, mito protein domain, induction, coexpression+, MS/MS++"	all 14
51253	MRPL37	mitochondrial ribosomal protein L37	L37mt, MRP-L2, MRP-L37, MRPL2, RPML2, Q9BZE1	19	0%	"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression+, MS/MS++"	kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis
54988	ACSM5	acyl-CoA synthetase medium-chain family member 5	Q6NUN0	19	0%	"literature, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	kidney, liver, adipose, smallintestine, largeintestine
10587	TXNRD2	thioredoxin reductase 2	SELZ, TR, TR-BETA, TR3, TRXR2, Q9NNW7	19	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	cerebrum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
55847	CISD1	CDGSH iron sulfur domain 1	C10orf70, ZCD1, mitoNEET, Q9NZ45	19	0%	"literature, mito protein domain, induction, coexpression++, MS/MS++"	all 14
64975	MRPL41	mitochondrial ribosomal protein L41	BMRP, MRP-L27, MRPL27, RPML27, Q8IXM3	19	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain, induction, MS/MS++"	all 14
54996	MARC2	mitochondrial amidoxime reducing component 2	MOSC2, RP11-270A6.1, Q969Z3	19	0%	"literature, targetP signal, mito protein domain+, induction, coexpression, MS/MS++"	all 14
64968	MRPS6	mitochondrial ribosomal protein S6	C21orf101, MRP-S6, RPMS6, S6mt, P82932	19	0%	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	all 14
6150	MRPL23	mitochondrial ribosomal protein L23	L23MRP, RPL23, RPL23L, Q16540	19	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, MS/MS++"	all 14
58472	SQRDL	sulfide quinone reductase-like (yeast)	PRO1975, Q9Y6N5	19	0%	"literature, targetP signal, yeast mito homolog++, mito protein domain, MS/MS++"	spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
6341	SCO1	SCO1 cytochrome c oxidase assembly protein	SCOD1, O75880	19	0%	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis
25902	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	FTHFSDC1, MTC1THFS, dJ292B18.2, Q6UB35	19	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis
23464	GCAT	glycine C-acetyltransferase	KBL, O75600	19	0%	"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++"	brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis
10455	ECI2	enoyl-CoA delta isomerase 2	ACBD2, DRS-1, DRS1, HCA88, PECI, dJ1013A10.3, O75521	19	0%	"literature, APEX_matrix, targetP signal+, mito protein domain, coexpression+, MS/MS++"	all 14
7381	UQCRB	ubiquinol-cytochrome c reductase binding protein	MC3DN3, QCR7, QP-C, QPC, UQBC, UQBP, UQCR6, UQPC, P14927	19	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS++"	all 14
131076	CCDC58	coiled-coil domain containing 58	Q4VC31	19	0%	"APEX_IMS, yeast mito homolog++, mito protein domain+, MS/MS++"	all 14
10632	ATP5L	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G"	ATP5JG, O75964	19	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS++"	all 14
10476	ATP5H	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d"	ATPQ, O75947	19	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS++"	all 14
64087	MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta)	MCCB, Q9HCC0	19	0%	"literature, targetP signal, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	all 14
84693	MCEE	methylmalonyl CoA epimerase	GLOD2, Q96PE7	19	0%	"targetP signal, induction, coexpression++, MS/MS++"	all 14
4337	MOCS1	molybdenum cofactor synthesis 1	MIG11, MOCOD, MOCODA, Q9NZB8	19	0%	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, MS/MS+"	cerebrum, liver, adipose, smallintestine, largeintestine, stomach, placenta
4594	MUT	methylmalonyl CoA mutase	MCM, P22033	19	0%	"literature, APEX_matrix, targetP signal, mito protein domain+, coexpression, MS/MS++"	all 14
92014	SLC25A51	"solute carrier family 25, member 51"	CG7943, MCART1, Q9H1U9	19	0%	"GFP, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis
6687	SPG7	spastic paraplegia 7 (pure and complicated autosomal recessive)	CAR, CMAR, PGN, SPG5C, Q9UQ90	19	0%	"literature, targetP signal, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
518	ATP5G3	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)"	P3, P48201	19	0%	"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression++"	none
84896	ATAD1	"ATPase family, AAA domain containing 1"	AFDC1, THORASE, Q8NBU5	19	0%	"yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis
